3 3 0 KF.CC.KF.B.M.AABLM.IIILGE.JJLGE..... E98 L99 M99
3 3 0 KF.CC.KF.B.MEAABLMEIIIL...JJLG.....G G99 L99 M99
3 3 0 KF.CC.KF.B.MEAABLMEIIILG.JJ.LG...... J99 L99 M99
3 3 0 KF.CC.KF.B.MEAABLMEIIILGJJ..LG...... J98 L99 M99
3 3 0 KF.CC.KF.B.M.AAB.MEIIILGE.JJLG....L. E99 L98 M99
3 3 0 KF.CC.KF.B.M.AAB.M.IIILGE.JJLGE...L. E98 L98 M99
3 3 0 KF.CC.KF.B.MEAAB.MEIIIL...JJLG....LG G99 L98 M99
3 3 0 KF.CC.KF.B.MEAAB.MEIIILG.JJ.LG....L. J99 L98 M99
3 3 0 KF.CC.KF.B.MEAAB.MEIIILGJJ..LG....L. J98 L98 M99
3 3 0 .F.CC.KF.BLMKAABLMEIIILGE.JJ.G...... K3 E99 M99
3 3 0 KF.CC.KF.BLMAA.BLMEIIILGE.JJ.G...... A99 E99 M99
3 3 0 KF.CC.KF.BLM.AABLMEIIIL.E.JJ.G.....G G99 E99 M99
3 3 0 KF.CC.KF.BLM.AABLMEIIILGEJJ..G...... J99 E99 M99
3 3 0 KF.CC.KF.BLM.AABLMEIIILGE..JJG...... J99 E99 M99
3 3 0 .F.CC.KF.BLMKAABLM.IIILGE.JJ.GE..... K3 E98 M99
3 3 0 .F.CC..F.BLMKAABLMKIIILGE.JJ.GE..... K2 E98 M99
3 3 0 KF.CC.KF.BLMAA.BLM.IIILGE.JJ.GE..... A99 E98 M99
3 3 0 KF.CC.KF.BLM.AABLMIII.LGE.JJ.GE..... I99 E98 M99
3 3 0 KF.CC.KF.BLM.AABLM.IIIL.E.JJ.GE....G G99 E98 M99
3 3 0 KF.CC.KF.BLM.AABLM.IIILGEJJ..GE..... J99 E98 M99
3 3 0 KF.CC.KF.BLM.AABLM.IIILGE..JJGE..... J99 E98 M99
3 3 0 KF.CC.KF.BLMEAABLMEIIIL..JJ..G.....G J99 G99 M99
3 3 0 KF.CC.KF.BLMEAABLMEIIIL.JJ...G.....G J98 G99 M99
3 3 0 KF.CC.KF.BLMEAABLMEIIIL....JJG.....G J99 G99 M99
3 3 0 .F.CCMKF.B.MKAABL.EIIILGE.JJLG...... K3 E99 L99
3 3 0 KF.CCMKF.B.MAA.BL.EIIILGE.JJLG...... A99 E99 L99
3 3 0 KF.CCMKF.B.M.AABLGEIIILGE.JJL....... G99 E99 L99
3 3 0 KF.CCMKF.B.M.AABL.EIIIL.E.JJLG.....G G99 E99 L99
3 3 0 KF.CCMKF.B.M.AABL.EIIILGEJJ.LG...... J99 E99 L99
3 3 0 .F.CCMKF.B.MKAABL..IIILGE.JJLGE..... K3 E98 L99
3 3 0 .F.CCM.F.B.MKAABL.KIIILGE.JJLGE..... K2 E98 L99
3 3 0 KF.CCMKF.B.MAA.BL..IIILGE.JJLGE..... A99 E98 L99
3 3 0 KF.CCMKF.B.M.AABL.III.LGE.JJLGE..... I99 E98 L99
3 3 0 KF.CCMKF.B.M.AABLG.IIILGE.JJL.E..... G99 E98 L99
3 3 0 KF.CCMKF.B.M.AABL..IIIL.E.JJLGE....G G99 E98 L99
3 3 0 KF.CCMKF.B.M.AABL..IIILGEJJ.LGE..... J99 E98 L99
3 3 0 KF.CCMKF.B.MEAABLGEIIILG.JJ.L....... J99 G99 L99
3 3 0 KF.CCMKF.B.MEAABLGEIIILGJJ..L....... J98 G99 L99
3 3 0 KF.CC.KF.B..EAABLMEIIILM..JJLG.....G M98 G99 L99
3 3 0 KF.CCMKF.B.MEAABL.EIIIL..JJ.LG.....G J99 G99 L99
3 3 0 KF.CCMKF.B.MEAABL.EIIIL.JJ..LG.....G J98 G99 L99
3 3 0 .F.CCMKF.B.MKAAB..EIIILGE.JJLG....L. K3 E99 L98
3 3 0 KF.CCMKF.B.MAA.B..EIIILGE.JJLG....L. A99 E99 L98
3 3 0 KF.CCMKF.B.M.AAB.GEIIILGE.JJL.....L. G99 E99 L98
3 3 0 KF.CCMKF.B.M.AAB..EIIIL.E.JJLG....LG G99 E99 L98
3 3 0 KF.CCMKF.B.M.AAB..EIIILGEJJ.LG....L. J99 E99 L98
3 3 0 .F.CCMKF.B.MKAAB...IIILGE.JJLGE...L. K3 E98 L98
3 3 0 .F.CCM.F.B.MKAAB..KIIILGE.JJLGE...L. K2 E98 L98
3 3 0 KF.CCMKF.B.MAA.B...IIILGE.JJLGE...L. A99 E98 L98
3 3 0 KF.CCMKF.B.M.AAB..III.LGE.JJLGE...L. I99 E98 L98
3 3 0 KF.CCMKF.B.M.AAB.G.IIILGE.JJL.E...L. G99 E98 L98
3 3 0 KF.CCMKF.B.M.AAB...IIIL.E.JJLGE...LG G99 E98 L98
3 3 0 KF.CCMKF.B.M.AAB...IIILGEJJ.LGE...L. J99 E98 L98
3 3 0 KF.CCMKF.B.MEAAB.GEIIILG.JJ.L.....L. J99 G99 L98
3 3 0 KF.CCMKF.B.MEAAB.GEIIILGJJ..L.....L. J98 G99 L98
3 3 0 KF.CC.KF.B..EAAB.MEIIILM..JJLG....LG M98 G99 L98
3 3 0 KF.CCMKF.B.MEAAB..EIIIL..JJ.LG....LG J99 G99 L98
3 3 0 KF.CCMKF.B.MEAAB..EIIIL.JJ..LG....LG J98 G99 L98
3 3 0 .F.CCMKF.BLMKAABLGEIIILGE.JJ........ G99 K3 E99
3 3 0 .F.CCMKF.BLMKAABL.EIIIL.E.JJ.G.....G G99 K3 E99
3 3 0 .F.CCMKF.BLMKAABL.EIIILGEJJ..G...... J99 K3 E99
3 3 0 .F.CCMKF.BLMKAABL.EIIILGE..JJG...... J99 K3 E99
3 3 0 KF.CCMKF.BLMAA.BLGEIIILGE.JJ........ G99 A99 E99
3 3 0 KF.CCMKF.BLMAA.BL.EIIIL.E.JJ.G.....G G99 A99 E99
3 3 0 KF.CCMKF.BLMAA.BL.EIIILGEJJ..G...... J99 A99 E99
3 3 0 KF.CCMKF.BLMAA.BL.EIIILGE..JJG...... J99 A99 E99
3 3 0 KF.CCMKF.BLM.AABLGEIIILGEJJ......... J99 G99 E99
3 3 0 KF.CCMKF.BLM.AABLGEIIILGE..JJ....... J99 G99 E99
3 3 0 KF.CCMKF.BLM.AABLGEIIILGE...JJ...... J98 G99 E99
3 3 0 KF.CC.KF.BL..AABLMEIIILME.JJ.G.....G M98 G99 E99
3 3 0 KF.CCMKF.BLM.AABL.EIIIL.EJJ..G.....G J99 G99 E99
3 3 0 KF.CCMKF.BLM.AABL.EIIIL.E..JJG.....G J99 G99 E99
3 3 0 .F.CCMKF.BLMKAABL.III.LGE.JJ.GE..... I99 K3 E98
3 3 0 .F.CCMKF.BLMKAABLG.IIILGE.JJ..E..... G99 K3 E98
3 3 0 .F.CCMKF.BLMKAABL..IIIL.E.JJ.GE....G G99 K3 E98
3 3 0 .F.CCMKF.BLMKAABL..IIILGEJJ..GE..... J99 K3 E98
3 3 0 .F.CCMKF.BLMKAABL..IIILGE..JJGE..... J99 K3 E98
3 3 0 .F.CCM.F.BLMKAABLGKIIILGE.JJ..E..... G99 K2 E98
3 3 0 .F.CCM.F.BLMKAABL.KIIIL.E.JJ.GE....G G99 K2 E98
3 3 0 .F.CCM.F.BLMKAABL.KIIILGEJJ..GE..... J99 K2 E98
3 3 0 .F.CCM.F.BLMKAABL.KIIILGE..JJGE..... J99 K2 E98
3 3 0 KF.CCMKF.BLMAA.BL.III.LGE.JJ.GE..... I99 A99 E98
3 3 0 KF.CCMKF.BLMAA.BLG.IIILGE.JJ..E..... G99 A99 E98
3 3 0 KF.CCMKF.BLMAA.BL..IIIL.E.JJ.GE....G G99 A99 E98
3 3 0 KF.CCMKF.BLMAA.BL..IIILGEJJ..GE..... J99 A99 E98
3 3 0 KF.CCMKF.BLMAA.BL..IIILGE..JJGE..... J99 A99 E98
3 3 0 KF.CCMKF..LM.AABL.IIIBLGE.JJ.GE..... B99 I99 E98
3 3 0 KF.CCMKF.BLM.AABLGIII.LGE.JJ..E..... G99 I99 E98
3 3 0 KF.CCMKF.BLM.AABL.III.L.E.JJ.GE....G G99 I99 E98
3 3 0 KF.CCMKF.BLM.AABL.III.LGEJJ..GE..... J99 I99 E98
3 3 0 KF.CCMKF.BLM.AABL.III.LGE..JJGE..... J99 I99 E98
3 3 0 KF.CCMKF.BLM.AABLG.IIILGEJJ...E..... J99 G99 E98
3 3 0 KF.CCMKF.BLM.AABLG.IIILGE..JJ.E..... J99 G99 E98
3 3 0 KF.CCMKF.BLM.AABLG.IIILGE...JJE..... J98 G99 E98
3 3 0 KF.CC.KF.BL..AABLM.IIILME.JJ.GE....G M98 G99 E98
3 3 0 KF.CCMKF.BLM.AABL..IIIL.EJJ..GE....G J99 G99 E98
3 3 0 KF.CCMKF.BLM.AABL..IIIL.E..JJGE....G J99 G99 E98
3 3 0 KF..CCKF.BL.EAABLMEIIILM..JJ.G.....G C99 M98 G99
3 3 0 KF.CC.KF.BL.EAABLMEIIILM.JJ..G.....G J99 M98 G99
3 3 0 KF.CC.KF.BL.EAABLMEIIILMJJ...G.....G J98 M98 G99
3 3 0 KF.CC.KF.BL.EAABLMEIIILM...JJG.....G J99 M98 G99
4 4 0 KFCCL.KF.BLM.AABLMEIII.GE.JJ.G...... E99 L99 M99 C99
4 4 0 KFCCL.KF.BLM.AABLM.III.GE.JJ.GE..... E98 L99 M99 C99
4 4 0 KFCCL.KF.BLMEAABLME.IIIG..JJ.G...... I99 L99 M99 C99
4 4 0 KFCCL.KF.BLMEAABLMEIII....JJ.G.....G G99 L99 M99 C99
4 4 0 KFCCL.KF.BLMEAABLMEIII.G.JJ..G...... J99 L99 M99 C99
4 4 0 KFCCL.KF.BLMEAABLMEIII.GJJ...G...... J98 L99 M99 C99
4 4 0 KFCCL.KF.BLMEAABLMEIII.G...JJG...... J99 L99 M99 C99
4 4 0 KFCC..KF.B.M.AABLMEIIILGE.JJLG...... E99 L99 M99 C99
4 4 0 KFCC..KF.B.M.AABLM.IIILGE.JJLGE..... E98 L99 M99 C99
4 4 0 KFCC..KF.B.MEAABLMEIIIL...JJLG.....G G99 L99 M99 C99
4 4 0 KFCC..KF.B.MEAABLMEIIILG.JJ.LG...... J99 L99 M99 C99
4 4 0 KFCC..KF.B.MEAABLMEIIILGJJ..LG...... J98 L99 M99 C99
4 4 0 KFCC..KF.B.M.AAB.MEIIILGE.JJLG....L. E99 L98 M99 C99
4 4 0 KFCC..KF.B.M.AAB.M.IIILGE.JJLGE...L. E98 L98 M99 C99
4 4 0 KFCC..KF.B.MEAAB.MEIIIL...JJLG....LG G99 L98 M99 C99
4 4 0 KFCC..KF.B.MEAAB.MEIIILG.JJ.LG....L. J99 L98 M99 C99
4 4 0 KFCC..KF.B.MEAAB.MEIIILGJJ..LG....L. J98 L98 M99 C99
4 4 0 .FCC..KF.BLMKAABLMEIIILGE.JJ.G...... K3 E99 M99 C99
4 4 0 KFCC..KF.BLMAA.BLMEIIILGE.JJ.G...... A99 E99 M99 C99
4 4 0 KFCC..KF.BLM.AABLMEIIIL.E.JJ.G.....G G99 E99 M99 C99
4 4 0 KFCC..KF.BLM.AABLMEIIILGEJJ..G...... J99 E99 M99 C99
4 4 0 KFCC..KF.BLM.AABLMEIIILGE..JJG...... J99 E99 M99 C99
4 4 0 .FCC..KF.BLMKAABLM.IIILGE.JJ.GE..... K3 E98 M99 C99
4 4 0 .FCC...F.BLMKAABLMKIIILGE.JJ.GE..... K2 E98 M99 C99
4 4 0 KFCC..KF.BLMAA.BLM.IIILGE.JJ.GE..... A99 E98 M99 C99
4 4 0 KFCC..KF.BLM.AABLMIII.LGE.JJ.GE..... I99 E98 M99 C99
4 4 0 KFCC..KF.BLM.AABLM.IIIL.E.JJ.GE....G G99 E98 M99 C99
4 4 0 KFCC..KF.BLM.AABLM.IIILGEJJ..GE..... J99 E98 M99 C99
4 4 0 KFCC..KF.BLM.AABLM.IIILGE..JJGE..... J99 E98 M99 C99
4 4 0 KFCC..KF.BLMEAABLMEIIIL..JJ..G.....G J99 G99 M99 C99
4 4 0 KFCC..KF.BLMEAABLMEIIIL.JJ...G.....G J98 G99 M99 C99
4 4 0 KFCC..KF.BLMEAABLMEIIIL....JJG.....G J99 G99 M99 C99
4 4 0 .FCCLMKF.BLMKAABL.EIII.GE.JJ.G...... K3 E99 L99 C99
4 4 0 KFCCLMKF.BLMAA.BL.EIII.GE.JJ.G...... A99 E99 L99 C99
4 4 0 KFCCLMKF.BLM.AABL.E.IIIGE.JJ.G...... I99 E99 L99 C99
4 4 0 KFCCLMKF.BLM.AABLGEIII.GE.JJ........ G99 E99 L99 C99
4 4 0 KFCCLMKF.BLM.AABL.EIII..E.JJ.G.....G G99 E99 L99 C99
4 4 0 KFCCLMKF.BLM.AABL.EIII.GEJJ..G...... J99 E99 L99 C99
4 4 0 KFCCLMKF.BLM.AABL.EIII.GE..JJG...... J99 E99 L99 C99
4 4 0 .FCCLMKF.BLMKAABL..III.GE.JJ.GE..... K3 E98 L99 C99
4 4 0 .FCCLM.F.BLMKAABL.KIII.GE.JJ.GE..... K2 E98 L99 C99
4 4 0 KFCCLMKF.BLMAA.BL..III.GE.JJ.GE..... A99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABL.III..GE.JJ.GE..... I99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABL...IIIGE.JJ.GE..... I99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABLG.III.GE.JJ..E..... G99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABL..III..E.JJ.GE....G G99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABL..III.GEJJ..GE..... J99 E98 L99 C99
4 4 0 KFCCLMKF.BLM.AABL..III.GE..JJGE..... J99 E98 L99 C99
4 4 0 KFCCLMKF.BLMEAABLGE.IIIG..JJ........ G99 I99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.E.III...JJ.G.....G G99 I99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.E.IIIG.JJ..G...... J99 I99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.E.IIIGJJ...G...... J98 I99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.E.IIIG...JJG...... J99 I99 L99 C99
4 4 0 KFCCLMKF.BLMEAABLGEIII.G.JJ......... J99 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABLGEIII.GJJ.......... J98 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABLGEIII.G...JJ....... J99 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABLGEIII.G....JJ...... J98 G99 L99 C99
4 4 0 KFCCL.KF.BL.EAABLMEIII.M..JJ.G.....G M98 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.E..III..JJ.G.....G I98 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.EIII...JJ..G.....G J99 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.EIII..JJ...G.....G J98 G99 L99 C99
4 4 0 KFCCLMKF.BLMEAABL.EIII.....JJG.....G J99 G99 L99 C99
4 4 0 .FCC.MKF.B.MKAABL.EIIILGE.JJLG...... K3 E99 L99 C99
4 4 0 KFCC.MKF.B.MAA.BL.EIIILGE.JJLG...... A99 E99 L99 C99
4 4 0 KFCC.MKF.B.M.AABLGEIIILGE.JJL....... G99 E99 L99 C99
4 4 0 KFCC.MKF.B.M.AABL.EIIIL.E.JJLG.....G G99 E99 L99 C99
4 4 0 KFCC.MKF.B.M.AABL.EIIILGEJJ.LG...... J99 E99 L99 C99
4 4 0 .FCC.MKF.B.MKAABL..IIILGE.JJLGE..... K3 E98 L99 C99
4 4 0 .FCC.M.F.B.MKAABL.KIIILGE.JJLGE..... K2 E98 L99 C99
4 4 0 KFCC.MKF.B.MAA.BL..IIILGE.JJLGE..... A99 E98 L99 C99
4 4 0 KFCC.MKF.B.M.AABL.III.LGE.JJLGE..... I99 E98 L99 C99
4 4 0 KFCC.MKF.B.M.AABLG.IIILGE.JJL.E..... G99 E98 L99 C99
4 4 0 KFCC.MKF.B.M.AABL..IIIL.E.JJLGE....G G99 E98 L99 C99
4 4 0 KFCC.MKF.B.M.AABL..IIILGEJJ.LGE..... J99 E98 L99 C99
4 4 0 KFCC.MKF.B.MEAABLGEIIILG.JJ.L....... J99 G99 L99 C99
4 4 0 KFCC.MKF.B.MEAABLGEIIILGJJ..L....... J98 G99 L99 C99
4 4 0 KFCC..KF.B..EAABLMEIIILM..JJLG.....G M98 G99 L99 C99
4 4 0 KFCC.MKF.B.MEAABL.EIIIL..JJ.LG.....G J99 G99 L99 C99
4 4 0 KFCC.MKF.B.MEAABL.EIIIL.JJ..LG.....G J98 G99 L99 C99
